# Pathway	02078-BA_R1_trim_Abundance-CPM	07004-B_R1_trim_Abundance-CPM	07005-B_R1_trim_Abundance-CPM	08012-B_R1_trim_Abundance-CPM	08016-B_R1_trim_Abundance-CPM	09024-B_R1_trim_Abundance-CPM	09069-B_R1_trim_Abundance-CPM	10029-BA_R1_trim_Abundance-CPM	10030-B_R1_trim_Abundance-CPM	12042-B_R1_trim_Abundance-CPM
UNMAPPED	140164	276552	247029	277130	128606	262837	544583	149077	310123	162558
UNINTEGRATED	795371	668441	715974	653118	821812	660448	425373	776970	638540	781916
UNINTEGRATED|g__Actinomyces.s__Actinomyces_urogenitalis	0	0	0	639376	0	0	0	0	0	0
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_longum	0	0	0	0	0	4139.24	0	15437.1	571753	51930.6
UNINTEGRATED|g__Citrobacter.s__Citrobacter_freundii	0	0	0	0	0	0	0	1638.36	0	0
UNINTEGRATED|g__Clostridium.s__Clostridium_butyricum	0	0	0	0	0	0	31712.3	0	0	0
UNINTEGRATED|g__Clostridium.s__Clostridium_perfringens	2776.4	0	0	0	3351.27	0	0	937.165	0	0
UNINTEGRATED|g__Enterobacter.s__Enterobacter_aerogenes	0	0	0	0	0	0	0	0	0	7790.58
UNINTEGRATED|g__Enterobacter.s__Enterobacter_cloacae	0	0	0	0	0	0	0	1161.86	1295.39	0
UNINTEGRATED|g__Enterococcus.s__Enterococcus_faecalis	68238.3	0	0	3889.44	0	633.339	0	0	46028.3	877.132
UNINTEGRATED|g__Enterococcus.s__Enterococcus_faecium	0	0	0	0	0	0	0	0	20812.4	0
UNINTEGRATED|g__Escherichia.s__Escherichia_coli	680481	288884	0	0	830454	19169.8	0	700182	6387.46	723290
UNINTEGRATED|g__Haemophilus.s__Haemophilus_parainfluenzae	0	0	0	3666.4	0	0	0	0	92734.8	1078.53
UNINTEGRATED|g__Klebsiella.s__Klebsiella_oxytoca	0	175648	221084	0	0	176220	0	0	1021	0
UNINTEGRATED|g__Klebsiella.s__Klebsiella_pneumoniae	0	0	0	381.043	0	0	396724	0	1107.28	14580.9
UNINTEGRATED|g__Klebsiella.s__Klebsiella_variicola	0	0	0	0	0	0	9943.95	0	0	0
UNINTEGRATED|g__Lactobacillus.s__Lactobacillus_fermentum	0	0	0	0	0	710.926	0	0	0	0
UNINTEGRATED|g__Lactobacillus.s__Lactobacillus_gasseri	0	0	0	0	0	1626.03	0	0	0	0
UNINTEGRATED|g__Neisseria.s__Neisseria_flavescens	0	0	0	326.822	0	0	0	0	0	0
UNINTEGRATED|g__Neisseria.s__Neisseria_subflava	0	0	0	1375.92	0	0	0	0	0	0
UNINTEGRATED|g__Propionibacterium.s__Propionibacterium_acnes	0	0	220400	0	0	0	0	0	507.091	0
UNINTEGRATED|g__Propionibacterium.s__Propionibacterium_avidum	11460.4	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Propionibacterium.s__Propionibacterium_granulosum	0	342.697	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Proteus.s__Proteus_mirabilis	0	0	0	0	0	214876	0	0	0	0
UNINTEGRATED|g__Rothia.s__Rothia_mucilaginosa	0	0	0	0	0	0	0	0	0	833.33
UNINTEGRATED|g__Staphylococcus.s__Staphylococcus_aureus	703.333	2659.61	0	0	0	0	0	0	18248.2	0
UNINTEGRATED|g__Staphylococcus.s__Staphylococcus_epidermidis	0	550.244	94700.5	340.469	9395.55	657.836	2949.24	951.937	4941.54	1363.63
UNINTEGRATED|g__Staphylococcus.s__Staphylococcus_hominis	0	0	0	0	0	0	0	0	231.962	744.842
UNINTEGRATED|g__Staphylococcus.s__Staphylococcus_lugdunensis	0	0	0	0	0	922.2	0	0	0	0
UNINTEGRATED|g__Streptococcus.s__Streptococcus_agalactiae	0	0	0	0	0	4298.33	1354.87	0	0	0
UNINTEGRATED|g__Streptococcus.s__Streptococcus_lutetiensis	0	4600.34	0	0	0	0	0	0	2565.78	0
UNINTEGRATED|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0	0	0	0	0	0	0	0	4254.38	158.833
UNINTEGRATED|g__Streptococcus.s__Streptococcus_parasanguinis	0	0	0	0	525.873	8992.04	0	0	0	1469.21
UNINTEGRATED|g__Streptococcus.s__Streptococcus_salivarius	0	0	0	0	226.704	0	0	0	0	0
UNINTEGRATED|g__Veillonella.s__Veillonella_atypica	0	0	0	0	0	24356.7	0	43034.1	70.3619	0
UNINTEGRATED|g__Veillonella.s__Veillonella_dispar	0	35278.9	0	0	0	225974	0	223.776	0	0
UNINTEGRATED|g__Veillonella.s__Veillonella_parvula	0	69242.8	0	294076	0	4689.71	0	763.469	463.869	91.5782
UNINTEGRATED|g__Veillonella.s__Veillonella_ratti	0	0	0	0	0	0	0	3459.22	0	0
UNINTEGRATED|unclassified	975.711	3481.03	1050.72	686.222	1227.95	2566.26	6518.23	922.169	1305.88	476.116
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis	255.437	324.31	301.839	24.4421	166.48	674.634	147.569	236.818	280.328	208.994
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Citrobacter.s__Citrobacter_freundii	0	0	0	0	0	0	0	0.94008	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Enterobacter.s__Enterobacter_aerogenes	0	0	0	0	0	0	0	0	0	2.86122
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Escherichia.s__Escherichia_coli	208.775	43.5199	0	0	126.667	0	0	40.2274	0	158.333
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Klebsiella.s__Klebsiella_pneumoniae	0	0	0	0	0	0	134.334	0	0	1.40888
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Staphylococcus.s__Staphylococcus_epidermidis	0	0	81.2616	0	8.35516	1.09497	0	0	3.098	0.659797
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Streptococcus.s__Streptococcus_parasanguinis	0	0	0	0	0.817323	11.8222	0	0	0	1.43852
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|unclassified	0	0	0	0	0	0	0	0	8.64968	0
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation	322.158	0	0	0	0	0	0	326.376	0.536333	296.519
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation|g__Escherichia.s__Escherichia_coli	322.158	0	0	0	0	0	0	326.349	0.325155	294.105
AEROBACTINSYN-PWY: aerobactin biosynthesis	0	75.0608	0	0	227.543	0	0	0	0	284.922
AEROBACTINSYN-PWY: aerobactin biosynthesis|g__Escherichia.s__Escherichia_coli	0	75.0608	0	0	227.543	0	0	0	0	284.922
ANAEROFRUCAT-PWY: homolactic fermentation	332.58	262.548	244.309	15.4201	203.762	306.096	260.731	251.141	192.17	257.214
ANAEROFRUCAT-PWY: homolactic fermentation|g__Escherichia.s__Escherichia_coli	0	51.3038	0	0	182.293	0	0	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	429.627	336.101	350.226	77.662	225.303	377.373	261.9	338.01	663.327	339.742
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Citrobacter.s__Citrobacter_freundii	0	0	0	0	0	0	0	0.547205	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Enterobacter.s__Enterobacter_aerogenes	0	0	0	0	0	0	0	0	0	2.34881
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Escherichia.s__Escherichia_coli	324.804	63.5711	0	0	211.962	0	0	269.451	1.25129	287.954
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Haemophilus.s__Haemophilus_parainfluenzae	0	0	0	6.51617	0	0	0	0	190.149	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Klebsiella.s__Klebsiella_oxytoca	0	76.6465	49.6171	0	0	84.4851	0	0	0.266322	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Klebsiella.s__Klebsiella_pneumoniae	0	0	0	0	0	0	0	0	0.286217	1.43159
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Staphylococcus.s__Staphylococcus_aureus	0.550207	0	0	0	0	0	0	0	26.4538	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Staphylococcus.s__Staphylococcus_epidermidis	0	0	90.0538	0	6.8053	0.636474	0	0	6.34702	1.07367
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0	0	0	0	0	0	0	0	5.41793	0
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	171.14	339.475	0	56.2822	164.772	311.804	0	149.708	5.44739	178.348
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis|g__Escherichia.s__Escherichia_coli	154.952	28.3665	0	0	144.447	0	0	94.0638	0.645349	158.622
